では、最初のステップを始めます。ここでは仕様を機能に分解します,
例として仕様の「マルバツゲームのルールに則る」を分解してみます。マルバツゲームはマス目が９つあるため、最大9ターン必要です。,
そのため機能として「9回ループさせる」「勝者が出たらループを終わらせる」という2つ機能が必要となります。,addLoopFunc
ここで注意する点は「ループのためのforやwhile」など具体的なプログラムについては考えないことです。,
分解をする際は抽象的に考え、具体的なプログラムは後で実装する前に柔軟に考えていく方が楽なためです。,
また、ターンごとに、マス目を埋めるプレイヤーが切り替わるため「ターンでプレイヤーを切り替える」という機能も必要になります。,
しかしこれは、抽象的すぎてどう実装するのかイメージが付きにくいです。,
そのため、「ターンのプレイヤーを保存する変数を用意する」と「ターンの終わりにプレイヤーを切り替える」という2つに分けて機能とします,addTurnFunc
それでは、実際に機能に分解していってください。,
下の入力欄に機能を入力し、決定ボタンを押してください。その機能が適当ではない場合、ヒントを出します。また下のヒントボタンを押すと、どの点に着目すればいいかのヒントを出します。,loopSplit
これだけ分解すれば十分です。お疲れ様でした。次のステップに進みます,endMove
